Snapshot,Data,Partida,Posição,Jogadores,Vitórias,Derrotas,Win Rate,Último Jogo
10,2026-06-07,#10 Lem / vonMises / Cunha 0-1 Hjax / viperking,12,Alekel / Phobbos,0,0,—,Sem jogos
10,2026-06-07,#10 Lem / vonMises / Cunha 0-1 Hjax / viperking,15,Violante / Phayol,0,0,—,Sem jogos
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,1,Showtaro / Vitor,2,0,100%,V#8
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,2,Lion Heart / SaNgar,2,0,100%,V#7
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,2,Hjax / viperking,2,0,100%,V#10
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,4,Chacineiro / Alface / Vikitor,1,1,50%,D#8
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,5,Lem / vonMises / Cunha,1,1,50%,D#10
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,6,arc / Gabe,2,1,67%,V#9
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,7,Maití / meuqsaco,0,1,0%,D#1
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,7,Infiel / KSxWOS,0,1,0%,D#4
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,7,General Winter / Skobadark,0,1,0%,D#6
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,7,Bineto / nigo,0,2,0%,D#7
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,7,gaules / gbytes,0,2,0%,D#9
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,12,Sauronzinho/ Dragoness,1,0,100%,V#11
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,13,Major Bruno / Razi,0,1,0%,D#11
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,14,Alekel / Phobbos,0,0,—,Sem jogos
11,2026-06-08,#11 Major Bruno / Razi 0-1 Sauronzinho/ Dragoness,15,Violante / Phayol,0,0,—,Sem jogos
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,1,Showtaro / Vitor,2,0,100%,V#8
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,2,Lion Heart / SaNgar,2,0,100%,V#7
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,2,Hjax / viperking,2,0,100%,V#10
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,4,Chacineiro / Alface / Vikitor,1,1,50%,D#8
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,5,Lem / vonMises / Cunha,1,1,50%,D#10
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,6,arc / Gabe,2,1,67%,V#9
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,7,General Winter / Skobadark,1,1,50%,V#12
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,8,Maití / meuqsaco,0,1,0%,D#1
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,8,Infiel / KSxWOS,0,1,0%,D#4
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,8,Bineto / nigo,0,2,0%,D#7
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,8,gaules / gbytes,0,2,0%,D#9
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,12,Sauronzinho/ Dragoness,1,1,50%,D#12
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,13,Major Bruno / Razi,0,1,0%,D#11
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,14,Alekel / Phobbos,0,0,—,Sem jogos
12,2026-06-10,#12 General Winter / Skobadark 1-0 Sauronzinho/ Dragoness,15,Violante / Phayol,0,0,—,Sem jogos
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,1,Showtaro / Vitor,2,0,100%,V#8
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,2,Lion Heart / SaNgar,2,0,100%,V#7
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,2,Hjax / viperking,2,0,100%,V#10
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,4,Chacineiro / Alface / Vikitor,1,1,50%,D#8
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,5,Lem / vonMises / Cunha,2,1,67%,V#13
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,6,arc / Gabe,2,2,50%,D#13
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,7,General Winter / Skobadark,1,1,50%,V#12
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,8,Maití / meuqsaco,0,1,0%,D#1
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,8,Infiel / KSxWOS,0,1,0%,D#4
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,8,Bineto / nigo,0,2,0%,D#7
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,8,gaules / gbytes,0,2,0%,D#9
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,12,Sauronzinho/ Dragoness,1,1,50%,D#12
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,13,Major Bruno / Razi,0,1,0%,D#11
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,14,Alekel / Phobbos,0,0,—,Sem jogos
13,2026-06-11,#13 Lem / vonMises / Cunha 1-0 arc / Gabe,15,Violante / Phayol,0,0,—,Sem jogos
